2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Starting chess COT generation with performance optimizations
2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Configuration: Workers=8, Batch_Size=32, Top_K=5
2025-06-07 15:15:03,453 - chess_cot_generation - INFO - Ray initialized with 8 workers
2025-06-07 15:15:03,454 - chess_cot_generation - INFO - Creating Stockfish workers...
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - 8 Stockfish workers created
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - Initializing FEN generator from: /media/maxime/385e67e0-8703-4723-a0bc-af3a292fd030/stockfish_data/Leela_training
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Using real dir_iterator
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Starting processing loop for up to 1000000 batches
2025-06-07 17:07:15,988 - chess_cot_generation - INFO - Performance Stats - Batch 260: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 8352, CPU: 85.9%, Memory: 46.4%
2025-06-07 17:11:34,993 - chess_cot_generation - INFO - Performance Stats - Batch 270: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 8672, CPU: 86.6%, Memory: 46.4%
2025-06-07 17:15:47,692 - chess_cot_generation - INFO - Performance Stats - Batch 280: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 8992, CPU: 84.8%, Memory: 46.5%
2025-06-07 17:19:59,047 - chess_cot_generation - INFO - Performance Stats - Batch 290: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 9312, CPU: 87.6%, Memory: 46.5%
2025-06-07 17:24:20,223 - chess_cot_generation - INFO - Performance Stats - Batch 300: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 9632, CPU: 85.0%, Memory: 46.3%
2025-06-07 17:28:36,313 - chess_cot_generation - INFO - Performance Stats - Batch 310: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 9952, CPU: 87.0%, Memory: 46.5%
2025-06-07 17:32:51,480 - chess_cot_generation - INFO - Performance Stats - Batch 320: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 10272, CPU: 87.1%, Memory: 46.6%
2025-06-07 17:36:58,221 - chess_cot_generation - INFO - Performance Stats - Batch 330: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 10592, CPU: 86.5%, Memory: 46.7%
2025-06-07 17:41:12,351 - chess_cot_generation - INFO - Performance Stats - Batch 340: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.4%, Total Processed: 10912, CPU: 86.7%, Memory: 46.6%
2025-06-07 17:45:31,090 - chess_cot_generation - INFO - Performance Stats - Batch 350: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 11232, CPU: 88.5%, Memory: 46.4%
2025-06-07 17:49:38,563 - chess_cot_generation - INFO - Performance Stats - Batch 360: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 11552, CPU: 85.6%, Memory: 46.3%
2025-06-07 17:53:43,563 - chess_cot_generation - INFO - Performance Stats - Batch 370: Throughput: 1.27 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 11872, CPU: 85.8%, Memory: 46.5%
2025-06-07 17:57:55,696 - chess_cot_generation - INFO - Performance Stats - Batch 380: Throughput: 1.27 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 12192, CPU: 85.9%, Memory: 46.3%
2025-06-07 18:02:13,980 - chess_cot_generation - INFO - Performance Stats - Batch 390: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 12512, CPU: 87.8%, Memory: 46.3%
2025-06-07 18:06:28,591 - chess_cot_generation - INFO - Performance Stats - Batch 400: Throughput: 1.27 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 12832, CPU: 86.6%, Memory: 46.2%
2025-06-07 18:10:45,155 - chess_cot_generation - INFO - Performance Stats - Batch 410: Throughput: 1.27 FENs/sec, Avg Worker Util: 85.5%, Total Processed: 13152, CPU: 87.8%, Memory: 46.6%
2025-06-07 18:15:14,828 - chess_cot_generation - INFO - Performance Stats - Batch 420: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 13472, CPU: 88.1%, Memory: 46.3%
2025-06-07 18:19:26,507 - chess_cot_generation - INFO - Performance Stats - Batch 430: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 13792, CPU: 87.4%, Memory: 46.9%
